"ID","dispatchID","formName","loc_x","loc_y","size_h","size_w"
18986,12345,"New_Event_Form",192,109,521,885
18987,12345,"Map",0,0,698,693
18988,12345,"Browser",240,92,578,1050
18989,12345,"EJusticeSearch",213,95,598,1050
18990,12345,"PopulateEvents",401,22,361,620
18991,12345,"EJusticeInbox",545,469,385,1050
18992,12345,"ParksAssignment",222,119,638,1050
18993,12345,"NewParksEvent",179,135,664,1022
18994,12345,"CAD_EVENTS",-1,560,299,666
18995,12345,"Search_Events",424,269,440,738
18996,12345,"MultState",125,125,367,367
18997,12345,"View_Event_Form",0,0,549,810
18998,12345,"EnterCall",522,425,216,560
18999,12345,"ComponentForm",912,190,642,642
19000,12345,"CourtInfo",550,172,522,589
19001,12345,"SearchLog",0,0,497,725
19002,12345,"ExistingParksEvent",0,0,598,1050
19003,12345,"CAD",2208,188,705,1116
19004,12345,"Change_Password",452,165,300,300
19005,12345,"EJusticeCCHSearch",199,102,598,1050
19006,12345,"CAD_OFFICERS",1220,0,860,380
19007,12345,"CAD_CALLS",0,0,317,1284
19008,12345,"Settings",556,161,292,290
19009,12345,"RunData",424,175,340,512
19010,12345,"CourtLookup",706,116,484,367
19011,12345,"Resources",773,70,391,473
19012,12345,"ERG",493,4,860,808
