"ID","Username","DispID","Background","Text_Color","Panel_Color","Custom_Colors"
1,"russom","26","purple","yellow","yellow","16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215"
2,"bolenm","20","CornflowerBlue","yellow","yellow","16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215"
4,"williamli","29","CornflowerBlue","yellow","yellow","16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215"
5,"rosek","22","CornflowerBlue","yellow","yellow","16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215"
6,"westovel","12","CornflowerBlue","yellow","yellow","16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215"
7,"bachmanc","18","CornflowerBlue","yellow","yellow","16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215"
8,"folandr","30","DarkOliveGreen","Gold","Gold","16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215"
9,"dadonnam","524","CornflowerBlue","yellow","yellow","16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215"
10,"williamja","31","CornflowerBlue","yellow","yellow","16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215"
11,"test","12345","-13934534","-2820644","-8388608","3825707|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215"
13,"User","123456","CornflowerBlue","yellow","yellow","16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215|16777215"
