"ID","makes","FullMakes","ParksID"
1,"ACUR","ACURA",2940
2,"ATV","ALL-TERRAIN VEHICLE",
3,"AUDI","AUDI",2942
4,"BENT","BENTLEY",3727
5,"BMW","BMW",2941
6,"BUIC","BUICK",2943
7,"CADI","CADILLAC",2944
8,"CHEV","CHEVROLET",2933
9,"CHRY","CHRYSLER",2934
10,"DODG","DODGE",2935
11,"EGIL","EAGLE",2947
12,"FERR","FERRARI",3674
13,"FIAT","FIAT",3750
14,"FORD","FORD",2932
15,"GEO","GEO",2949
16,"GMC","GMC",2948
17,"HUMM","HUMMER",2950
18,"HYUN","HYUNDAI",3019
19,"HOND","HONDA",2938
20,"INFI","INFINITI",2951
21,"ISU","ISUZU",2952
22,"JAGU","JAGUAR",2953
23,"JEEP","JEEP",2954
24,"KIA","KIA",2955
25,"LAMO","LAMBORGHINI",3751
26,"LEXS","LEXUS",2956
27,"LINC","LINCOLN",2957
28,"LNDR","LAND ROVER",3448
29,"LOTU","LOTUS",3753
30,"MASE","MASERATI",3752
31,"MAZD","MAZDA",2958
32,"MERC","MERCURY",2936
33,"MERZ","MERCEDES BENZ",2959
34,"MG","MG",3452
35,"MITS","MITSUBISHI",2960
36,"MNNI","MINI",3449
37,"NISS","NISSAN",2946
38,"OLDS","OLDSMOBILE",2961
39,"OPEL","OPEL",3452
40,"PLYM","PLYMOUTH",2962
41,"PONT","PONTIAC",2964
42,"PORS","PORSCHE",2965
43,"SAAB","SAAB",2966
44,"SATR","SATURN",2967
45,"SCIO","SCION",3749
46,"SMRT","SMART",3452
47,"SUBA","SUBARU",2963
48,"SUZI","SUZUKI",2968
49,"THNK","THINK NORTH AMERICA, INC",3452
50,"TOYT","TOYOTA",2937
51,"TRIU","TRIUMPH",3460
52,"VOLK","VOLKSWAGON",2969
53,"VOLV","VOLVO",2970
