"id","parkId","mapType","mapName","mapLocation"
1,14,1,"2014-08-07 - Fort Ontario Alarm List.docx","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Fort Ontario\Alarm Information\2014-08-07 - Fort Ontario Alarm List.docx"
2,14,4,"ftontario_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Fort Ontario\Maps\ftontario_map.pdf"
3,30,1,"Alarm Information.xlsx","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Herkimer Home\Basic Infomation\Alarm Information.xlsx"
4,30,4,"HerkimerHomeSiteMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Herkimer Home\Maps\HerkimerHomeSiteMap.pdf"
5,30,4,"herkimerhome_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Herkimer Home\Maps\herkimerhome_map.pdf"
6,28,4,"hydehall_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Hyde Hall\Maps\hydehall_map.pdf"
7,19,4,"lorenzo_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Lorenzo\Maps\lorenzo_map.pdf"
8,19,1,"1st Floor w sensors identified copy.jpg","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Lorenzo\Maps\Alarm Maps\1st Floor w sensors identified copy.jpg"
9,19,1,"2nd Floor w sensors identified copy.jpg","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Lorenzo\Maps\Alarm Maps\2nd Floor w sensors identified copy.jpg"
10,19,1,"3rd Floor w sensors identified copy.jpg","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Lorenzo\Maps\Alarm Maps\3rd Floor w sensors identified copy.jpg"
11,19,1,"Basement w sensors identified copy.jpg","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Lorenzo\Maps\Alarm Maps\Basement w sensors identified copy.jpg"
12,19,1,"Collections Barn.xlsx","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Lorenzo\Maps\Alarm Maps\Collections Barn.xlsx"
13,19,1,"Site Map labeled copy.jpg","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Lorenzo\Maps\Alarm Maps\Site Map labeled copy.jpg"
14,17,4,"oriskany_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Oriskany Battlefield\Maps\oriskany_map.pdf"
15,16,4,"steuben_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Historic Sites\Steuben Memorial\Maps\steuben_map.pdf"
16,1,4,"battleisland_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Battle Island\Maps\battleisland_map.pdf"
17,25,2,"BettyandWilburDavisTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Betty & Wilbur Davis\Maps\BettyandWilburDavisTrailMap.pdf"
18,25,4,"davis_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Betty & Wilbur Davis\Maps\davis_map.pdf"
19,21,3,"BowmanLakeCampgroundMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Bowman Lake\Maps\BowmanLakeCampgroundMap.pdf"
20,21,2,"BowmanLakeParkTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Bowman Lake\Maps\BowmanLakeParkTrailMap.pdf"
21,21,4,"bowmanlk_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Bowman Lake\Maps\bowmanlk_map.pdf"
22,27,4,"canadarago_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Canadarago Boat Launch\Maps\canadarago_map.pdf"
23,22,3,"ChenangoValleyCampingMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Chenango Valley\Maps\ChenangoValleyCampingMap.pdf"
24,22,2,"ChenangoValleyTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Chenango Valley\Maps\ChenangoValleyTrailMap.pdf"
25,22,4,"chenangovalley_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Chenango Valley\Maps\chenangovalley_map.pdf"
26,2,2,"ChittenangoFallsTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Chittenango Falls\Maps\ChittenangoFallsTrailMap.pdf"
27,2,4,"chittenangofalls_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Chittenango Falls\Maps\chittenangofalls_map.pdf"
28,3,2,"Clark Trail Map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Clark Reservation\Maps\Clark Trail Map.pdf"
29,3,2,"ClarkReservationTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Clark Reservation\Maps\ClarkReservationTrailMap.pdf"
30,3,4,"clarkres_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Clark Reservation\Maps\clarkres_map.pdf"
31,4,3,"DeltaLakeCampgroundMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Delta Lake\Maps\DeltaLakeCampgroundMap.pdf"
32,4,4,"DeltaLakeParkMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Delta Lake\Maps\DeltaLakeParkMap.pdf"
33,4,2,"DeltaLakeTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Delta Lake\Maps\DeltaLakeTrailMap.pdf"
34,4,4,"deltalk_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Delta Lake\Maps\deltalk_map.pdf"
35,24,3,"Gilbert Lake Campgrounds.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Gilbert Lake\Maps\Gilbert Lake Campgrounds.pdf"
36,24,3,"GilbertLakeCabinCampingMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Gilbert Lake\Maps\GilbertLakeCabinCampingMap.pdf"
37,24,3,"GilbertLakeDeerRunCamping.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Gilbert Lake\Maps\GilbertLakeDeerRunCamping.pdf"
38,24,3,"GilbertLakeHilltopCampingMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Gilbert Lake\Maps\GilbertLakeHilltopCampingMap.pdf"
39,24,2,"GilbertLakeTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Gilbert Lake\Maps\GilbertLakeTrailMap.pdf"
40,24,4,"gilbertlake_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Gilbert Lake\Maps\gilbertlake_map.pdf"
41,24,3,"GL Campgrounds.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Gilbert Lake\Maps\GL Campgrounds.pdf"
42,24,2,"GL Trails.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Gilbert Lake\Maps\GL Trails.pdf"
43,26,3,"GlimmerglassCampingMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Glimmerglass\Maps\GlimmerglassCampingMap.pdf"
44,26,2,"GlimmerglassTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Glimmerglass\Maps\GlimmerglassTrailMap.pdf"
45,26,4,"glimmerglass_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Glimmerglass\Maps\glimmerglass_map.pdf"
46,5,2,"2014 02 20 Ranger Arch C GPS coordinates (1).pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Green Lakes\Maps\2014 02 20 Ranger Arch C GPS coordinates (1).pdf"
47,5,2,"2014 TOPO map 01 16 GLSP Trail Map (2).pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Green Lakes\Maps\2014 TOPO map 01 16 GLSP Trail Map (2).pdf"
48,5,2,"2014-01 GRSP Trail Map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Green Lakes\Maps\2014-01 GRSP Trail Map.pdf"
49,5,2,"2014-02 911 ctr maping at GR.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Green Lakes\Maps\2014-02 911 ctr maping at GR.pdf"
50,5,2,"GR TRAIL MAP.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Green Lakes\Maps\GR TRAIL MAP.pdf"
51,5,5,"GreenLakesBirdConservationAreaMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Green Lakes\Maps\GreenLakesBirdConservationAreaMap.pdf"
52,5,4,"GreenLakesGreenLakesStateParkMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Green Lakes\Maps\GreenLakesGreenLakesStateParkMap.pdf"
53,5,2,"GreenLakesTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Green Lakes\Maps\GreenLakesTrailMap.pdf"
54,5,4,"greenlk_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Green Lakes\Maps\greenlk_map.pdf"
56,18,4,"lehighvalley_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Lehigh Valley Railroad\Maps\lehighvalley_map.pdf"
57,20,4,"helenmcnitt_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\McNitt\Maps\helenmcnitt_map.pdf"
58,15,4,"Mexico_Pt_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Mexico Point Boat Launch\Maps\Mexico_Pt_map.pdf"
59,15,4,"Mexico_Pt_Mar_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Mexico Point Boat Launch\Maps\Mexico_Pt_Mar_map.pdf"
60,3001,4,"olderiecanal_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Old Erie Canal\Maps\olderiecanal_map.pdf"
61,29,3,"OquagaCreekCampingMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Oquaga Creek\Maps\OquagaCreekCampingMap.pdf"
62,29,4,"oquagacreek_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Oquaga Creek\Maps\oquagacreek_map.pdf"
63,9,2,"PixleyFallsTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Pixley Falls\Maps\PixleyFallsTrailMap.pdf"
64,9,4,"pixleyfalls_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Pixley Falls\Maps\pixleyfalls_map.pdf"
65,33,4,"riddell_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Robert Riddell\Maps\riddell_map.pdf"
66,10,4,"Sandy Island Beach.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Sandy Island Beach\Maps\Sandy Island Beach.pdf"
67,10,4,"sandyisland_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Sandy Island Beach\Maps\sandyisland_map.pdf"
68,11,4,"selkirkshores pt_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Selkirk Shores\Maps\selkirkshores pt_map.pdf"
69,11,5,"SelkirkShoresBirdConservationAreaMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Selkirk Shores\Maps\SelkirkShoresBirdConservationAreaMap.pdf"
70,11,2,"SelkirkShoresTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Selkirk Shores\Maps\SelkirkShoresTrailMap.pdf"
71,11,4,"selkirkshores_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Selkirk Shores\Maps\selkirkshores_map.pdf"
72,12,4,"stateparkatfair_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\State Fair\Maps\stateparkatfair_map.pdf"
73,12,4,"stateparkatfair_map_2008.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\State Fair\Maps\stateparkatfair_map_2008.pdf"
74,13,3,"VeronaBeachCampingMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Verona Beach\Maps\VeronaBeachCampingMap.pdf"
75,13,5,"VeronaBeachShelterMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Verona Beach\Maps\VeronaBeachShelterMap.pdf"
76,13,2,"VeronaBeachTrailMap.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Verona Beach\Maps\VeronaBeachTrailMap.pdf"
77,13,4,"veronabeach_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Verona Beach\Maps\veronabeach_map.pdf"
78,3002,4,"olderiecanal_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Old Erie Canal\Maps\olderiecanal_map.pdf"
79,7,4,"olderiecanal_map.pdf","\\cenfile1\police$\CENTRAL REGION DRIVE\Filing Cabinet\Park Facility Files\Parks\Old Erie Canal\Maps\olderiecanal_map.pdf"
